idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,einrichtung,exemplar
999824015,L-1796-169506053,Aal,DBSM/F/Bö,Bö B I 42/4°,Bö B I 42/4°,1796,Lʹ @Arte di scrivere tratta dal Dizionario dʹarti e mestieri dellʹEnciclopedia metodica : , : ,,,,,,,,,,1,02
994698968,L-1818-157574970,Aal,DBSM/F/Bö,Bö B I 279,Bö B I 279,1818,"Elementos teórico-prácticos del arte de escribir por principios con las reglas generales, y particulares del carácter bastardo español : Dispuestas su", : ,,,,,,,,,,1,02
998959685,L-1777-167259407,Aal,DBSM/F/Bö,Bö B I 294,Bö B I 294,1777,"Arte de escribir, ortografia de la pluma y honra de los profesores de este magisterio : obra dividida en XII. dialogos eruditos ...", : ,,,,,,,,,,1,02
1001314530,L-1708-174156588,Aal,DBSM/F/Bö,Bö B I 298,Bö B I 298,1708,"Der @wohl=erfahrne In allerhand ungemein-Curieusen Schreib-Arten auch sowol ergötzlichen als Sinn-reichen Gemüths-Übungen Anweisende Schreib Künstler,", : ,,,,,,,,,,1,02
994252668,L-1722-154872350,Afl,DBSM/F/Bö,Bö B I 305/2°,Bö B I 305/2°,1722,"[Nova Escola para aprender a ler, escrever et contar","[Pt. 1.] : Exercicio o louvor das letras, que o mundo acclamatem na nobresa o melhor berço, aque illustrata a fama por mais sagrada y splendor",,,,,,,,"Taf. 44 m. Datum: 1718. - [s. Bonacini, Nr 65 - 66]",,1,02
993915078,L-1795-154003360,Aal,DBSM/F/Bö,Bö B I 306,Bö B I 306,1795,"Arte de escribir por reglas y sin muestras, establecido de orden superior en los Reales Sitios de San Ildefonso y Valsain despues de haberse experimen", : ,,,,,,,,In zeitgenöss. Einbd,,1,02
99406280X,L-1647-154450324,Aal,DBSM/F/Bö,Bö B I 311/4°,Bö B I 311/4°,1707,"Les @Écritures Financiere, Et Italienne-Bastarde Dans Leur Naturel ... : Avec Des Alphabets Et Pieces D'Écritures Des Nations Etrangeres", : ,,,,,,,,,,1,02
994120303,L-1770-154528331,Aal,DBSM/F/Bö,(Großformate),Bö B I 319/2°,1770,"Les @Agrémens de l'Écriture Moderne, Ou Exposition du Gout actuel des François sur l'Art d'Écrire : Dédié à Monsiur le Marquis de Thiboutos", : ,,,,,,,,,,1,02
994227140,L-1743-154844934,Aal,DBSM/F/Bö,Bö B I 323,Bö B I 323,1743,"The @Universal Penman : Or the art of writing made useful to the gentleman and scholar, as well as the man of business ...", : ,,,,,,,,enthielt vor der Komplettrestaurierung (ca. 1970er Jahre) ein eingekl. herald. adlig. Kupf. Exlibris,,1,02
994248199,L-1732-154867489,Aal,DBSM/F/Bö,Bö B I 324,Bö B I 324,1732,Les @elemens ou premières instructions de la jeunesse : , : ,,,,,,,,,,1,02
99424603X,L-1732-15486515X,Aal,DBSM/F/Bö,Bö B I 324 a,Bö B I 324 a,1732,Nouveaux exemplaires d'Écriture d'vne beauté Singuliere Ecrits par Estienne de Blegny Me Écriuain à Paris Iuré expert Étably pour Verifier les Écritur, : ,,,,,,,,Taf.-Nr. z.T. weggeschnitt.; Taf. 40 m. Textschluß fehlt,,1,02
994377800,L-1766-155561243,Aal,DBSM/F/Bö,Bö B I 329/4°,Bö B I 329/4°,1766,Vorschrift :||Zu nutzlicher Nach-||-ahmung und einer|| fleißigen Ubung zu gutem|| vorgestellt und geschrieben : , : ,,,,,,,,Zeitgen. Pappbd a. süddt. goldgeprägt. Buntpapier,,1,02
994405464,L-1799-155716743,Aal,DBSM/F/Bö,Bö B I 331/4°,Bö B I 331/4°,1799,Butterworth's|| Universal Penman|| Or The|| Beauties of Writing Delineated|| In all the various hands now practised.|| Designed|| For The ||Improvemen, : ,,,,,,,,,,1,02
994698852,L-1829-15757489X,Aal,DBSM/F/Bö,Bö B I 334,Bö B I 334,1829,"Metodo di G. Carstairs, falsamente chiamato metodo Americano ossia l'arte d'imparare a scrivere o migliorare la scrittura in poche lezioni : ", : ,,,,,,,,,,1,02
994521820,L-1758-156363704,Aal,DBSM/F/Bö,Bö B I 338/4°,Bö B I 338/4°,1758,Practical and ornamental Penmanship : a new copy book, : ,,,,,,,,,,1,02
994540655,L-1813-156399652,Aal,DBSM/F/Bö,Bö B I 343/4°,Bö B I 343/4°,1813,Nuova Raccolta di diversi caratteri scritti da Angelo Cominotti in Livorno : , : ,,,,,,,,,,1,02
994578091,L-1559-15687587X,Aal,DBSM/F/Bö,Bö B I 345,Bö B I 345,1559,La|| @Vera Maniera|| del Scriver Corsivo|| Cancellaresco : , : ,,,,,,,,S. 32 handschr. dat.: Romae ... 1559,,1,02
994643454,L-1588-157184129,Afl,DBSM/F/Bö,Bö B I 349,Bö B I 349,1588,La @notomia delle Cancellaresche corsiue & altre Maniere di Lettere,2 : ,,,,,,,,"Taf. 2, 14 u. 37 fehlen",,1,02
994643535,L-1593-157184188,Afl,DBSM/F/Bö,Bö B I 349,Bö B I 349,1593,La @notomia delle Cancellaresche corsiue & altre Maniere di Lettere,3. : Il Teatro delle Cancellaresche corsiue per Secretari et altre maniere di Lettere,,,,,,,,"Taf. 2, 5 u. 38 fehlen",,1,02
994693214,L-1772-157568458,Aal,DBSM/F/Bö,Bö B I 351 a/2°,Bö B I 351 a/2°,1772,Ammaestramenti Teorieopratici Indirizzati ad agevolare il modo d'imparare da per se La Scrittura Moderna : , : ,,,,,,,,Ausg. ohne Portr.,,1,03
994693214,L-1772-157568520,Aal,DBSM/F/Bö,Bö B I 351 b/2°,Bö B I 351 b/2°,1772,Ammaestramenti Teorieopratici Indirizzati ad agevolare il modo d'imparare da per se La Scrittura Moderna : , : ,,,,,,,,,,1,04
994693214,L-1772-157568423,Aal,DBSM/F/Bö,Bö B I 351/2°,Bö B I 351/2°,1772,Ammaestramenti Teorieopratici Indirizzati ad agevolare il modo d'imparare da per se La Scrittura Moderna : , : ,,,,,,,,Ausg. ohne Portr.,,1,02
995118566,L-1719-158797752,Aal,DBSM/F/Bö,(Großformate),Bö B I 352/2,1719,Le @Trésor|| Des Novvelles|| Escritures de Finances|| et Italiennes bastardes|| A la Mode|| Auec les belles Instructions &|| Secrets dudit Art|| Dedié, : ,,,,,,,,,,1,02
996389113,L-1797-162081979,Aal,DBSM/F/Bö,Bö B I 361/2°,Bö B I 361/2°,1797,Alfabeto di Lettere Iniziali Adorno Di Animali e proseguito Da Vaga Serie Di Caratteri : , : ,,,,,,,,,,1,02
997039620,L-1820-163256535,Afl,DBSM/F/Bö,Bö B I 365/4° - 3,Bö B I 365/4° -3,1820,Musterblätter für Liebhaber der höhern Kaligraphie,H. 3 : ,,,,,,,,,,1,02
997039345,L-1820-163256233,Afl,DBSM/F/Bö,Bö B I 365/4° - 1,Bö B I 365/4° - 1,1820,Musterblätter für Liebhaber der höhern Kaligraphie,H. 1 : ,,,,,,,,,,1,02
997039469,L-1820-163256357,Afl,DBSM/F/Bö,Bö B I 365/4° - 2,Bö B I 365/4° - 2,1820,Musterblätter für Liebhaber der höhern Kaligraphie,H. 2 : ,,,,,,,,,,1,02
997140933,L-1798-16342294X,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1798,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 1 : ,,,,,,,,,,1,02
997141042,L-1798-163423059,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1798,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 2 : ,,,,,,,,,,1,02
